position,time,race_num,country,gender,catagory
1,05:32:09,46216,RSA,M,SEN
2,05:41:21,13892,SWE,M,SEN
3,05:43:38,14873,LES,M,SEN
4,05:45:49,45047,RSA,M,SEN
5,05:46:27,19409,RSA,M,VET
6,05:46:52,59346,MAW,M,VET
7,05:48:00,24777,RSA,M,SEN
8,05:50:11,54135,ZIM,M,SEN
9,05:51:52,29889,RSA,M,SEN
10,05:52:38,55925,ZIM,M,SEN
11,05:54:23,27026,RSA,M,SEN
12,05:58:50,59588,RSA,M,SEN
13,05:59:23,47411,RSA,M,SEN
14,06:01:13,24774,RSA,M,SEN
15,06:05:26,51716,RSA,M,VET
16,06:07:01,41314,RSA,M,SEN
17,06:08:40,33059,RSA,M,SEN
18,06:10:53,49080,RSA,M,SEN
19,06:11:47,59261,RSA,M,SEN
20,06:12:14,11008,RSA,M,SEN
21,06:14:10,28424,RSA,M,SEN
22,06:16:12,14084,RSA,M,VET
23,06:18:38,36458,RSA,M,VET
24,06:19:37,54915,RSA,M,SEN
25,06:19:53,11203,RSA,M,VET
26,06:20:04,59833,LES,M,SEN
27,06:20:43,33856,RSA,M,SEN
28,06:21:59,10294,RSA,M,VET
29,06:22:50,17716,RSA,M,VET
30,06:23:27,27153,RSA,M,SEN
31,06:23:41,8498,RSA,M,SEN
32,06:24:11,49863,LES,M,VET
33,06:25:17,43221,RSA,M,SEN
34,06:25:49,13592,RSA,M,SEN
35,06:26:00,53729,RSA,M,VET
36,06:26:02,36361,RSA,M,SEN
37,06:26:28,53323,RSA,M,SEN
38,06:27:09,19987,RUS,F,SEN
39,06:28:07,19988,RUS,F,SEN
40,06:30:20,28689,RSA,M,VET
41,06:31:01,25411,RSA,M,SEN
42,06:31:30,13336,RSA,M,SEN
43,06:32:24,21458,RSA,M,VET
44,06:33:00,7219,RSA,M,SEN
45,06:33:20,37635,RSA,M,SEN
46,06:33:45,19527,RSA,M,VET
47,06:34:33,33872,RSA,M,SEN
48,06:34:41,13556,LES,M,SEN
49,06:34:46,34020,RSA,M,SEN
50,06:34:52,16329,RSA,M,SEN
